,topBrand,category,categoryCode,barcode,name,cpg,_id,brandCode
28,,Baking,BAKING,511111316114,test brand @1598635634882,"{'$ref': 'Cogs', '$id': {'$oid': '5f493e72be37ce64d0ae36c2'}}",{'$oid': '5f493e72be37ce64d0ae36c6'},TEST BRANDCODE @1598635634882
29,,Baking,BAKING,511111315957,test brand @1598633693011,"{'$ref': 'Cogs', '$id': {'$oid': '5f4936dcbe37ce52f8314fd8'}}",{'$oid': '5f4936ddbe37ce52f8314fd9'},
30,False,Grocery,,511111201915,Taco Bell,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '57ebc2e7e4b0ac389136a34b'},TACO BELL
31,False,Baking,BAKING,511111518112,test brand @1607639214411,"{'$ref': 'Cogs', '$id': {'$oid': '5fd2a0aebe37ce49eb72c0ed'}}",{'$oid': '5fd2a0aebe37ce49eb72c0ee'},
32,,Breakfast & Cereal,,511111506249,Frosted Cheerios™,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",{'$oid': '5dc03596a60b873d6b0666cd'},FROSTED CHEERIOS
33,,Baking,BAKING,511111916161,test brand @1598639199674,"{'$ref': 'Cogs', '$id': {'$oid': '5f494c5d04db711dd8fe87e2'}}",{'$oid': '5f494c5f04db711dd8fe87e6'},TEST BRANDCODE @1598639199674
34,,,,511111103653,Gold Medal,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",{'$oid': '5332f772e4b03c9a25efd125'},
35,False,Baking,,511111100621,GODIVA Instant Pudding Mix,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '59dfaad1e4b0a56a2fa69abc'},GODIVA DRY PACKAGED DESSERTS
36,,Snacks,,511111305910,LÄRABAR™,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",{'$oid': '5daf33e71dda2c3e1416ae93'},LARABAR
37,,Baking,BAKING,511111115366,test brand @1597350074333,"{'$ref': 'Cogs', '$id': {'$oid': '5f35a0babe37ce6853cff1fd'}}",{'$oid': '5f35a0babe37ce6853cff1ff'},TEST BRANDCODE @1597350074333
38,False,Baking,BAKING,511111718079,test brand @1607636368717,"{'$ref': 'Cogs', '$id': {'$oid': '5fd29590be37ce38bbbefb25'}}",{'$oid': '5fd29590be37ce38bbbefb28'},TEST BRANDCODE @1607636368717
39,False,Baking,BAKING,511111818182,test brand @1607707830095,"{'$ref': 'Cogs', '$id': {'$oid': '5fd3acb5be37ce0d9386bb3e'}}",{'$oid': '5fd3acb6be37ce0d9386bb40'},TEST BRANDCODE @1607707830095
40,False,Household,,511111504627,Cottonelle,"{'$ref': 'Cogs', '$id': {'$oid': '550b2565e4b001d5e9e4146f'}}",{'$oid': '5bd200a6965c7d66d92731ea'},COTTONELLE
41,False,Beverages,,511111301691,Izze,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '585a9675e4b03e62d1ce0e7f'},IZZE
42,False,Beverages,,511111101178,Mio,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '5887a17ee4b02187f85cdad3'},MIO
43,,,,511111503699,Glaceau vitaminwater,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",{'$oid': '5332f765e4b03c9a25efd11f'},
44,,Magazines,,511111505365,Magnolia Journal Magazine,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",{'$oid': '5d66d94d6d5f3b6188d4f04b'},511111505365
45,,Magazines,,511111405252,American Patchwork & Quilting Magazine,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",{'$oid': '5d66d2fd6d5f3b6188d4f045'},QUILTING SPECIAL EDITION
46,,,,511111104025,Gree Giant,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",{'$oid': '5332f5f3e4b03c9a25efd0ad'},
47,False,Baking,BAKING,511111317203,test brand @1604437351617,"{'$ref': 'Cogs', '$id': {'$oid': '5fa1c567be37ce402c4618ef'}}",{'$oid': '5fa1c567be37ce402c4618f1'},TEST BRANDCODE @1604437351617
48,,Beer Wine Spirits,,511111900337,Herman Joseph's,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",{'$oid': '5a5d1e76e4b0db471c2d0425'},HERMAN
49,,,,511111302629,Sundrop,"{'$ref': 'Cogs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",{'$oid': '55b630d9e4b0d8e685c1421f'},
50,,Beverages,,511111704935,Kevita Sparkling Drinks,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '5d602d9d6d5f3b23d1bc7907'},KEVITA
51,False,Frozen,,511111902188,Delimex,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '57ebbf75e4b0ac389136a32f'},DELIMEX
52,,Personal Care,,511111004844,THE RIGHT TO SHOWER,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",{'$oid': '5d2f68d96d5f3b107e208da4'},THE RIGHT TO SHOWER
53,False,Personal Care,,511111100904,CARESS,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",{'$oid': '592486bde410d61fcea3d124'},CARESS
54,,Baking,BAKING,511111115083,test brand @1595340086044,"{'$ref': 'Cogs', '$id': {'$oid': '5f16f535be37ce2b30061e24'}}",{'$oid': '5f16f536be37ce2b30061e27'},TEST BRANDCODE @1595340086044
55,,,,511111603870,Blue Bunny,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f6ede4b03c9a25efd0e6'}}",{'$oid': '5332f6ede4b03c9a25efd0e5'},
56,,,,511111103141,Krave,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",{'$oid': '5332fa05e4b03c9a25efd1d6'},
57,,Baking,BAKING,511111315513,test brand @1597861700968,"{'$ref': 'Cogs', '$id': {'$oid': '5f3d6f44be37ce4ddbb1bb3a'}}",{'$oid': '5f3d6f44be37ce4ddbb1bb3e'},TEST BRANDCODE @1597861700968
58,True,Grocery,,511111106876,DASH-2249 Brand1,"{'$ref': 'Cogs', '$id': {'$oid': '5c76d20595144c5375687b4e'}}",{'$oid': '5c76d3cd95144c5375687b4f'},TEST BRAND CODE
59,,Candy & Sweets,CANDY_AND_SWEETS,511111115649,test brand @1598026275245,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",{'$oid': '5f3ff223be37ce1c81aa1e11'},TEST BRANDCODE @1598026275245
60,False,Canned Goods & Soups,,511111204206,Swanson,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",{'$oid': '5a8c36dbe4b0ccf165fac9e9'},SWANSON
61,,,,511111102618,A&W Rootbeer,"{'$ref': 'Cogs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",{'$oid': '55b630e1e4b0d8e685c14220'},
62,,Baking,BAKING,511111415626,test brand @1598026274668,"{'$ref': 'Cogs', '$id': {'$oid': '5f3ff222be37ce1c81aa1e0c'}}",{'$oid': '5f3ff222be37ce1c81aa1e0f'},TEST BRANDCODE @1598026274668
63,False,Frozen,,511111306887,DASH-2249 Brand2,"{'$ref': 'Cogs', '$id': {'$oid': '5c76d20595144c5375687b4e'}}",{'$oid': '5c76db7295144c5375687b50'},DASH-2249 1
64,False,Health & Wellness,,511111805854,ONE A DAY® WOMENS,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",{'$oid': '5da609991dda2c3e1416ae90'},511111805854
65,False,Snacks,,511111104537,Kettle Brand,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",{'$oid': '5afda575e4b0c11cfecd49f9'},KETTLE BRAND
66,False,Canned Goods & Soups,,511111404392,Campbell's Soup at Hand,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",{'$oid': '5ab154dde4b0915382df761f'},CAMPBELLS SOUP AT HAND 
67,,Baking,BAKING,511111615583,test brand @1597936021514,"{'$ref': 'Cogs', '$id': {'$oid': '5f3e9195be37ce5a0e01b95f'}}",{'$oid': '5f3e9195be37ce5a0e01b960'},
68,False,Grocery,GROCERY,511111117841,Rainbo,"{'$ref': 'Cogs', '$id': {'$oid': '5fb6b608be37ce522e165cb9'}}",{'$oid': '5fb82faebe37ce522e165ce9'},RAINBO
69,False,Beer Wine Spirits,,511111602279,Crispin Cider Company,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",{'$oid': '57e58157e4b0ac389136a30a'},CRISPIN
70,False,Baking,BAKING,511111318194,test brand @1607707830137,"{'$ref': 'Cogs', '$id': {'$oid': '5fd3acb5be37ce0d9386bb3e'}}",{'$oid': '5fd3acb6be37ce0d9386bb41'},TEST BRANDCODE @1607707830137
71,False,Health & Wellness,HEALTHY_AND_WELLNESS,511111114413,Claritin®,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",{'$oid': '5e90a545ee7f2d70340f40d7'},CLARITIN®
72,,Breakfast & Cereal,,511111706045,Cookie Crisp™,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",{'$oid': '5daf5e94a60b87376833e362'},COOKIE CRISP
73,False,Baking,BAKING,511111717317,test brand @1605535020441,"{'$ref': 'Cogs', '$id': {'$oid': '5fb2852cbe37ce522e165cae'}}",{'$oid': '5fb2852cbe37ce522e165caf'},TEST BRANDCODE @1605535020442
74,,Snacks,,511111903789,Keebler,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",{'$oid': '5332f743e4b03c9a25efd109'},
75,False,Baking,BAKING,511111417262,test brand @1604946244750,"{'$ref': 'Cogs', '$id': {'$oid': '5fa98944be37ce239d1070ff'}}",{'$oid': '5fa98944be37ce239d107100'},TEST BRANDCODE @1604946244750
76,False,Snacks,,511111004561,SNYDERS OF HANOVER,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",{'$oid': '5afda65de4b0c11cfecd49fb'},SNYDERS OF HANOVER
77,,,,511111702894,Powerade,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",{'$oid': '5332fa7ee4b03c9a25efd230'},
78,False,Condiments & Sauces,,511111002154,Good Seasons,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '57ebbfafe4b0ac389136a332'},GOOD SEASONS
79,,Baking,BAKING,511111115922,test brand @1598633602279,"{'$ref': 'Cogs', '$id': {'$oid': '5f493682be37ce52f8314fcb'}}",{'$oid': '5f493682be37ce52f8314fce'},TEST BRANDCODE @1598633602279
80,,,,511111602552,Pizza Pizza Pizza,"{'$ref': 'Cpgs', '$id': {'$oid': '57ace90fe4b057c992a316ab'}}",{'$oid': '57ace91ae4b057c992a316ac'},
81,,Beer Wine Spirits,,511111200246,Revolver,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",{'$oid': '5a5d2431e4b06ba572cf24a1'},REVOLVER
82,False,Beer Wine Spirits,,511111802280,Keystone Light,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",{'$oid': '57e5810ce4b0ac389136a307'},KEYSTONE LIGHT
83,,,,511111604037,Our Family,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ac'}}",{'$oid': '5332f5f2e4b03c9a25efd0ab'},
84,,Snacks,,511111806226,Fruit Roll-Ups™,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",{'$oid': '5db9f9cca60b87376833e36b'},BETTY CROCKER FRUIT ROLL UPS
85,False,Candy & Sweets,CANDY_AND_SWEETS,511111118169,test brand @1607639232356,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",{'$oid': '5fd2a0c0be37ce49eb72c0f4'},TEST BRANDCODE @1607639232356
86,False,Condiments & Sauces,,511111304265,MOMOFUKU Sauce,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '5aa1b41de4b086c8aad5e096'},MOMOFUKU
87,False,Frozen,,511111500735,POPSICLE,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",{'$oid': '592486bee410d61fcea3d136'},POPSICLE
88,False,Beverages,,511111103936,Mug Root Beer,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '5332f603e4b03c9a25efd0be'},MUG Root Beer
89,False,Snacks,,511111704584,Tom's,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",{'$oid': '5afda699e4b0c11cfecd49fd'},TOMS
90,False,Baking,BAKING,511111017899,test brand @1606765579244,"{'$ref': 'Cogs', '$id': {'$oid': '5fc54c0abe37ce1911dbb3b1'}}",{'$oid': '5fc54c0bbe37ce1911dbb3b5'},TEST BRANDCODE @1606765579244
91,,Baking,BAKING,511111715320,test brand @1597342520305,"{'$ref': 'Cogs', '$id': {'$oid': '5f358338be37ce443bf9d557'}}",{'$oid': '5f358338be37ce443bf9d55b'},TEST BRANDCODE @1597342520305
92,,Dairy,,511111000723,PROMISE,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",{'$oid': '592486bfe410d61fcea3d137'},PROMISE
93,,Snacks,,511111200529,OFF THE EATEN PATH,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '5a4d2295e4b0d5c3fd86b679'},OFF THE EATEN PATH
94,,Candy & Sweets,CANDY_AND_SWEETS,511111116684,test brand @1600291350125,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",{'$oid': '5f628216be37ce78e6e2efaf'},TEST BRANDCODE @1600291350125
95,,,,511111003199,Honey Smacks,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",{'$oid': '5332f9fce4b03c9a25efd1cd'},
96,,Baking,BAKING,511111117070,test brand @1603760319758,"{'$ref': 'Cogs', '$id': {'$oid': '5f9770bfbe37ce03d08a2d83'}}",{'$oid': '5f9770bfbe37ce03d08a2d85'},TEST BRANDCODE @1603760319758
97,False,Frozen,,511111301974,Nancy's,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '57ebc293e4b0ac389136a345'},NANCY'S
98,,Baking,BAKING,511111816492,test brand @1599159966676,"{'$ref': 'Cogs', '$id': {'$oid': '5f513e9ebe37ce21f1287bff'}}",{'$oid': '5f513e9ebe37ce21f1287c00'},
99,,,,511111903413,Stella Artois,"{'$ref': 'Cogs', '$id': {'$oid': '5332f7a7e4b03c9a25efd134'}}",{'$oid': '5332f7b8e4b03c9a25efd145'},
100,False,Canned Goods & Soups,,511111704379,Campbell's Chunky Maxx,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",{'$oid': '5ab153fee4b0915382df761e'},CAMPBELLS CHUNKY MAXX
101,False,Condiments & Sauces,,511111004288,FOOD NETWORK KITCHEN INSPIRATIONS,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '5aa1b5b9e4b05a92fc9b1631'},FOOD NETWORK KITCHEN INSPIRATIONS
102,,Baking,BAKING,511111215547,test brand @1597935986390,"{'$ref': 'Cogs', '$id': {'$oid': '5f3e9172be37ce5a0e01b952'}}",{'$oid': '5f3e9172be37ce5a0e01b954'},TEST BRANDCODE @1597935986390
103,,Baking,BAKING,511111015970,test brand @1598633693744,"{'$ref': 'Cogs', '$id': {'$oid': '5f4936ddbe37ce52f8314fda'}}",{'$oid': '5f4936ddbe37ce52f8314fdc'},TEST BRANDCODE @1598633693744
104,,,,511111002437,Victoria,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f7a7e4b03c9a25efd134'}}",{'$oid': '57c0829ce4b0718ff5fcb03a'},
105,,Snacks,,511111500506,SABRITAS,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '5a4d244ae4b0bcb2c74ea77f'},SABRITAS
106,False,Beverages,,511111702177,Gevalia,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '57ebbfa1e4b0ac389136a330'},GEVALIA KAFFE
107,,Baking,BAKING,511111115717,test brand @1598290603501,"{'$ref': 'Cogs', '$id': {'$oid': '5f43faabbe37ce3ef3fd3714'}}",{'$oid': '5f43faabbe37ce3ef3fd3715'},TEST BRANDCODE @1598290603501
108,False,Dairy,,511111600633,"O, That's Good!","{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '59d550f4e4b090070b009534'},O THAT'S GOOD
109,True,Snacks,,511111801757,Chester's,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '585a9645e4b03e62d1ce0e79'},CHESTER'S
110,,Snacks,,511111101666,Miss Vickies,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '585a968ee4b03e62d1ce0e82'},MISS VICKIE'S
111,,Condiments & Sauces,,511111704867,SIR KENSINGTON'S,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",{'$oid': '5d2f6b82a3a01810a2174aed'},SIR KENSINGTON'S
112,False,Baking,BAKING,511111217251,test brand @1604946244133,"{'$ref': 'Cogs', '$id': {'$oid': '5fa98944be37ce239d1070fd'}}",{'$oid': '5fa98944be37ce239d1070fe'},
113,,,,511111803232,Crispix,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",{'$oid': '5332f9f2e4b03c9a25efd1c8'},
114,,,,511111502708,NessAlla,"{'$ref': 'Cpgs', '$id': {'$oid': '55a41b4be4b0d0a65b3692ee'}}",{'$oid': '55a41b55e4b0d0a65b3692ef'},
115,True,Snacks,,511111001119,Doritos,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '5887a372e4b02187f85cdad9'},DORITOS
116,True,Condiments & Sauces,,511111101895,A.1.,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '57ed0697e4b072ac2294b8f2'},A.1.
117,,,,511111002642,RC Cola,"{'$ref': 'Cpgs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",{'$oid': '55b630c2e4b0d8e685c1421d'},
118,,,,511111403913,Amp,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '5332f605e4b03c9a25efd0c0'},
119,,Baking,BAKING,511111315728,test brand @1598290603587,"{'$ref': 'Cogs', '$id': {'$oid': '5f43faabbe37ce3ef3fd3714'}}",{'$oid': '5f43faabbe37ce3ef3fd3716'},TEST BRANDCODE @1598290603587
120,,Beverages,,511111505433,Looza Fruit Juices,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '5d66de49a3a018093ab3472a'},LOOZA JUICES
121,,Health & Wellness,,511111005582,Aleve®,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",{'$oid': '5da605dc1dda2c3e1416ae83'},ALEVE
122,,Beauty,,511111613961,Soft-Sheen Carson - Hair Color,"{'$ref': 'Cogs', '$id': {'$oid': '5e28b81cee7f2d697e835bcd'}}",{'$oid': '5e3876bfee7f2d697e835bd3'},SOFT-SHEEN CARSON - HAIR COLOR
123,False,Candy & Sweets,CANDY_AND_SWEETS,511111217305,test brand @1604946245498,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",{'$oid': '5fa98945be37ce239d107104'},TEST BRANDCODE @1604946245499
124,False,Baking,,511111802075,Kraft Caramels,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '57ebc11fe4b0ac389136a33a'},
125,,Baking,BAKING,511111716150,test brand @1598639199117,"{'$ref': 'Cogs', '$id': {'$oid': '5f494c5d04db711dd8fe87e2'}}",{'$oid': '5f494c5f04db711dd8fe87e5'},TEST BRANDCODE @1598639199117
126,False,Baby,,511111104698,Pull-Ups,"{'$ref': 'Cogs', '$id': {'$oid': '550b2565e4b001d5e9e4146f'}}",{'$oid': '5bd201a990fa074576779a19'},PULL UPS
127,False,Baking,BAKING,511111417330,test brand @1605535020629,"{'$ref': 'Cogs', '$id': {'$oid': '5fb2852cbe37ce522e165cae'}}",{'$oid': '5fb2852cbe37ce522e165cb1'},TEST BRANDCODE @1605535020629
128,False,Beverages,,511111303893,Brisk Iced Tea,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '5332f60ce4b03c9a25efd0c3'},BRISK
129,,Beverages,,511111504139,Chris Brand XYZ,"{'$ref': 'Cogs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",{'$oid': '5a7e0604e4b0aedb3b84afd3'},CHRISXYZ
