,createDate,dateScanned,purchaseDate,pointsEarned,finishedDate,pointsAwardedDate,modifyDate,bonusPointsEarned,totalSpent,rewardsReceiptStatus,_id,bonusPointsEarnedReason,userId,purchasedItemCount
17,{'$date': 1609687476000},{'$date': 1609687476000},{'$date': 1609601076000},750.0,,{'$date': 1609687476000},{'$date': 1609687477000},750.0,1.00,FLAGGED,{'$oid': '5ff1e1b40a7214ada100055b'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e1b4cfcf6c399c274a54,1.0
18,{'$date': 1609687531000},{'$date': 1609687531000},{'$date': 1609632000000},300.0,{'$date': 1609687532000},{'$date': 1609687532000},{'$date': 1609687536000},300.0,26.00,FINISHED,{'$oid': '5ff1e1eb0a720f0523000576'},"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e1eacfcf6c399c274ae6,2.0
19,{'$date': 1609687496000},{'$date': 1609687496000},{'$date': 1609601096000},5.0,{'$date': 1609687502000},{'$date': 1609687496000},{'$date': 1609687502000},5.0,1.00,FINISHED,{'$oid': '5ff1e1c80a720f052300056d'},All-receipts receipt bonus,5ff1e194b6a9d73a3a9f1052,2.0
20,{'$date': 1604089081000},{'$date': 1604089081000},{'$date': 1604002681000},389.2,{'$date': 1609688395000},{'$date': 1609688395000},{'$date': 1609688395000},300.0,14.00,FINISHED,{'$oid': '5f9c74f90a7214ad07000038'},"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5f9c74e3f1937815bd2c1d73,6.0
21,{'$date': 1609687446000},{'$date': 1609687446000},{'$date': 1609601046000},750.0,{'$date': 1609687450000},{'$date': 1609687450000},{'$date': 1609687450000},750.0,1.00,FINISHED,{'$oid': '5ff1e1960a720f0523000567'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e196cfcf6c399c274a38,1.0
22,{'$date': 1609687532000},{'$date': 1609687532000},{'$date': 1609632000000},150.0,{'$date': 1609687532000},{'$date': 1609687532000},{'$date': 1609687537000},150.0,21.00,FINISHED,{'$oid': '5ff1e1ec0a7214ada100056c'},"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e1eacfcf6c399c274ae6,2.0
23,{'$date': 1609687511000},{'$date': 1609687511000},{'$date': 1609601111000},185.0,{'$date': 1609687512000},{'$date': 1609687512000},{'$date': 1609687512000},40.0,2.00,FINISHED,{'$oid': '5ff1e1d70a720f0523000571'},COMPLETE_PARTNER_RECEIPT,5ff1e194b6a9d73a3a9f1052,2.0
24,{'$date': 1609687494000},{'$date': 1609687494000},{'$date': 1609601094000},5.0,{'$date': 1609687499000},{'$date': 1609687494000},{'$date': 1609687499000},5.0,1.00,FINISHED,{'$oid': '5ff1e1c60a7214ada100055e'},All-receipts receipt bonus,5ff1e194b6a9d73a3a9f1052,2.0
25,{'$date': 1609687534000},{'$date': 1609687534000},{'$date': 1609632000000},5.0,{'$date': 1609687535000},{'$date': 1609687535000},{'$date': 1609687540000},5.0,27.00,FINISHED,{'$oid': '5ff1e1ee0a7214ada1000570'},All-receipts receipt bonus,5ff1e1eacfcf6c399c274ae6,5.0
26,{'$date': 1609687503000},{'$date': 1609687503000},{'$date': 1609601103000},5.0,{'$date': 1609687509000},{'$date': 1609687503000},{'$date': 1609687509000},5.0,1.00,FINISHED,{'$oid': '5ff1e1cf0a720f0523000570'},All-receipts receipt bonus,5ff1e194b6a9d73a3a9f1052,2.0
27,{'$date': 1609687521000},{'$date': 1609687521000},{'$date': 1609601121000},35.0,{'$date': 1609687521000},{'$date': 1609687521000},{'$date': 1609687526000},25.0,1.00,FINISHED,{'$oid': '5ff1e1e10a720f0523000572'},COMPLETE_NONPARTNER_RECEIPT,5ff1e194b6a9d73a3a9f1052,1.0
28,{'$date': 1609687508000},{'$date': 1609687508000},{'$date': 1509321600000},,,,{'$date': 1609687508000},,3.00,REJECTED,{'$oid': '5ff1e1d40a7214ada1000562'},,5ff1e194b6a9d73a3a9f1052,3.0
29,{'$date': 1609687534000},{'$date': 1609687534000},{'$date': 1609632000000},5.0,{'$date': 1609687534000},{'$date': 1609687534000},{'$date': 1609687539000},5.0,27.00,FINISHED,{'$oid': '5ff1e1ee0a720f0523000578'},All-receipts receipt bonus,5ff1e1eacfcf6c399c274ae6,4.0
30,{'$date': 1609789699000},{'$date': 1609789699000},{'$date': 1608422400000},650.0,{'$date': 1609789700000},{'$date': 1609789700000},{'$date': 1609789700000},300.0,10.00,FINISHED,{'$oid': '5ff371030a7214ada10005a5'},"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff370c562fde912123a5e0e,10.0
31,{'$date': 1609788876000},{'$date': 1609788876000},{'$date': 1609788876000},55.0,{'$date': 1609788876000},{'$date': 1609788876000},{'$date': 1609788876000},5.0,0.99,FINISHED,{'$oid': '5ff36dcc0a720f05230005b1'},All-receipts receipt bonus,5ff36d0362fde912123a5535,1.0
32,{'$date': 1609788533000},{'$date': 1609788533000},{'$date': 1609702133000},500.0,{'$date': 1609788534000},{'$date': 1609788534000},{'$date': 1609788534000},,89.91,FINISHED,{'$oid': '5ff36c750a7214ada100058f'},,5ff36be7135e7011bcb856d3,9.0
33,{'$date': 1609788806000},{'$date': 1609788806000},{'$date': 1609702406000},50.0,{'$date': 1609788806000},{'$date': 1609788806000},{'$date': 1609788806000},45.0,1.00,FINISHED,{'$oid': '5ff36d860a720f05230005a7'},COMPLETE_PARTNER_RECEIPT,54943462e4b07e684157a532,1.0
34,{'$date': 1609788831000},{'$date': 1609788831000},{'$date': 1608406431000},50.0,{'$date': 1609788831000},{'$date': 1609788831000},{'$date': 1609788831000},45.0,1.00,FINISHED,{'$oid': '5ff36d9f0a720f05230005ab'},COMPLETE_PARTNER_RECEIPT,5ff36d0362fde912123a5535,1.0
35,{'$date': 1609788123000},{'$date': 1609788123000},{'$date': 1609308000000},250.0,{'$date': 1609788124000},{'$date': 1609788124000},{'$date': 1609788124000},,49.95,FINISHED,{'$oid': '5ff36adb0a720f0523000590'},,5ff36a3862fde912123a4460,5.0
36,{'$date': 1609788832000},{'$date': 1609788832000},{'$date': 1609702432000},5.0,{'$date': 1609788832000},{'$date': 1609788832000},{'$date': 1609788832000},5.0,1.00,FINISHED,{'$oid': '5ff36da00a7214ada100059b'},All-receipts receipt bonus,5ff36d0362fde912123a5535,1.0
37,{'$date': 1609788868000},{'$date': 1609788868000},{'$date': 1609702468000},355.0,{'$date': 1609788868000},{'$date': 1609788868000},{'$date': 1609788868000},5.0,89.91,FINISHED,{'$oid': '5ff36dc40a7214ada100059f'},All-receipts receipt bonus,5ff36d0362fde912123a5535,9.0
38,{'$date': 1609789707000},{'$date': 1609789707000},{'$date': 1609703307000},600.0,{'$date': 1609789708000},{'$date': 1609789708000},{'$date': 1609789708000},100.0,89.91,FINISHED,{'$oid': '5ff3710b0a7214ada10005a7'},"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff370c562fde912123a5e0e,9.0
39,{'$date': 1609788792000},{'$date': 1609788792000},{'$date': 1609788792000},1750.0,{'$date': 1609788794000},{'$date': 1609788794000},{'$date': 1609788794000},750.0,10.00,FINISHED,{'$oid': '5ff36d780a7214ada1000593'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff36d78135e7011bcb86488,1.0
40,{'$date': 1609789761000},{'$date': 1609789761000},{'$date': 1609703361000},350.0,{'$date': 1609789761000},{'$date': 1609789761000},{'$date': 1609789761000},45.0,1.00,FINISHED,{'$oid': '5ff371410a7214ada10005ba'},COMPLETE_PARTNER_RECEIPT,5ff370c562fde912123a5e0e,1.0
41,{'$date': 1609788555000},{'$date': 1609788555000},{'$date': 1609702155000},5.0,{'$date': 1609788557000},{'$date': 1609788557000},{'$date': 1609788557000},5.0,1.00,FINISHED,{'$oid': '5ff36c8b0a720f05230005a1'},All-receipts receipt bonus,54943462e4b07e684157a532,1.0
42,{'$date': 1609788501000},{'$date': 1609788501000},{'$date': 1609480800000},750.0,{'$date': 1609788501000},{'$date': 1609788501000},{'$date': 1609788501000},750.0,25.00,FINISHED,{'$oid': '5ff36c550a7214ada1000588'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff36be7135e7011bcb856d3,5.0
43,{'$date': 1609788107000},{'$date': 1609788107000},{'$date': 1609701707000},55.0,{'$date': 1609788108000},{'$date': 1609788108000},{'$date': 1609788108000},5.0,89.91,FINISHED,{'$oid': '5ff36acb0a720f052300058d'},All-receipts receipt bonus,5ff36a3862fde912123a4460,9.0
44,{'$date': 1609789765000},{'$date': 1609789765000},{'$date': 1608789600000},5.0,{'$date': 1609789766000},{'$date': 1609789766000},{'$date': 1609789766000},5.0,49.95,FINISHED,{'$oid': '5ff371450a7214ada10005bd'},All-receipts receipt bonus,5ff370c562fde912123a5e0e,5.0
45,{'$date': 1609788829000},{'$date': 1609788829000},{'$date': 1609480800000},225.0,{'$date': 1609788829000},{'$date': 1609788829000},{'$date': 1609788829000},100.0,25.00,FINISHED,{'$oid': '5ff36d9d0a720f05230005aa'},"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff36d0362fde912123a5535,5.0
46,{'$date': 1609788505000},{'$date': 1609788505000},{'$date': 1609308000000},275.0,{'$date': 1609788505000},{'$date': 1609788505000},{'$date': 1609788505000},150.0,25.00,FINISHED,{'$oid': '5ff36c590a7214ada1000589'},"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff36be7135e7011bcb856d3,5.0
47,{'$date': 1609735138000},{'$date': 1609735138000},{'$date': 1609632000000},25.0,{'$date': 1609735146000},{'$date': 1609735146000},{'$date': 1609735149000},25.0,1.00,FINISHED,{'$oid': '5ff29be20a7214ada1000571'},COMPLETE_NONPARTNER_RECEIPT,5964eb07e4b03efd0c0f267b,1.0
48,{'$date': 1609777519000},{'$date': 1609777519000},{'$date': 1609718400000},25.0,{'$date': 1609777519000},{'$date': 1609777519000},{'$date': 1609777519000},25.0,28.57,FINISHED,{'$oid': '5ff3416f0a7214ada1000576'},COMPLETE_NONPARTNER_RECEIPT,5c3388caea88e15513a95069,1.0
49,{'$date': 1609788525000},{'$date': 1609788525000},{'$date': 1609702125000},5.0,{'$date': 1609788525000},{'$date': 1609788525000},{'$date': 1609788525000},5.0,18.20,FINISHED,{'$oid': '5ff36c6d0a720f0523000597'},All-receipts receipt bonus,5ff36be7135e7011bcb856d3,4.0
50,{'$date': 1609788035000},{'$date': 1609788035000},{'$date': 1608405635000},100.0,{'$date': 1609788036000},{'$date': 1609788036000},{'$date': 1609788036000},100.0,1.00,FINISHED,{'$oid': '5ff36a830a7214ada100057b'},"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff36a3862fde912123a4460,1.0
51,{'$date': 1609788503000},{'$date': 1609788503000},{'$date': 1609702103000},250.0,{'$date': 1609788503000},{'$date': 1609788503000},{'$date': 1609788503000},250.0,10.00,FINISHED,{'$oid': '5ff36c570a720f0523000593'},"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff36be7135e7011bcb856d3,1.0
52,{'$date': 1609789756000},{'$date': 1609789756000},{'$date': 1609703356000},350.0,{'$date': 1609789756000},{'$date': 1609789756000},{'$date': 1609789756000},,10.00,FINISHED,{'$oid': '5ff3713c0a7214ada10005b6'},,5ff370c562fde912123a5e0e,1.0
53,{'$date': 1609789715000},{'$date': 1609789715000},{'$date': 1609789715000},100.0,{'$date': 1609789716000},{'$date': 1609789716000},{'$date': 1609789716000},45.0,0.99,FINISHED,{'$oid': '5ff371130a7214ada10005aa'},COMPLETE_PARTNER_RECEIPT,5ff370c562fde912123a5e0e,1.0
54,{'$date': 1609789680000},{'$date': 1609789680000},{'$date': 1608508800000},500.0,{'$date': 1609789681000},{'$date': 1609789681000},{'$date': 1609789681000},500.0,49.95,FINISHED,{'$oid': '5ff370f00a7214ada10005a3'},"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff370c562fde912123a5e0e,5.0
55,{'$date': 1609789732000},{'$date': 1609789732000},{'$date': 1609703332000},755.0,{'$date': 1609789732000},{'$date': 1609789732000},{'$date': 1609789732000},750.0,1.00,FINISHED,{'$oid': '5ff371240a7214ada10005b3'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff37124135e7011bcb86bc3,1.0
56,{'$date': 1609788557000},{'$date': 1609788557000},{'$date': 1609702157000},5.0,{'$date': 1609788557000},{'$date': 1609788557000},{'$date': 1609788557000},5.0,1.00,FINISHED,{'$oid': '5ff36c8d0a7214ada1000591'},All-receipts receipt bonus,54943462e4b07e684157a532,1.0
57,{'$date': 1609788116000},{'$date': 1609788116000},{'$date': 1609788116000},55.0,{'$date': 1609788116000},{'$date': 1609788116000},{'$date': 1609788116000},5.0,0.99,FINISHED,{'$oid': '5ff36ad40a7214ada1000585'},All-receipts receipt bonus,5ff36a3862fde912123a4460,1.0
58,{'$date': 1609788875000},{'$date': 1609788875000},{'$date': 1609702475000},5.0,{'$date': 1609788876000},{'$date': 1609788876000},{'$date': 1609788876000},5.0,9.99,FINISHED,{'$oid': '5ff36dcb0a7214ada10005a0'},All-receipts receipt bonus,5ff36d0362fde912123a5535,1.0
59,{'$date': 1609777517000},{'$date': 1609777517000},{'$date': 1609718400000},25.0,{'$date': 1609777517000},{'$date': 1609777517000},{'$date': 1609777517000},25.0,28.57,FINISHED,{'$oid': '5ff3416d0a7214ada1000575'},COMPLETE_NONPARTNER_RECEIPT,5c3388caea88e15513a95069,1.0
60,{'$date': 1609879107000},{'$date': 1609879107000},{'$date': 1609804800000},5.0,{'$date': 1609879108000},{'$date': 1609879108000},{'$date': 1609879113000},5.0,25.00,FINISHED,{'$oid': '5ff4ce430a7214ada10005d8'},All-receipts receipt bonus,5ff4ce3dc3d63511e2a484dc,4.0
61,{'$date': 1609879104000},{'$date': 1609879104000},{'$date': 1609804800000},150.0,{'$date': 1609879104000},{'$date': 1609879104000},{'$date': 1609879109000},150.0,27.00,FINISHED,{'$oid': '5ff4ce400a7214ada10005d5'},"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff4ce3dc3d63511e2a484dc,5.0
62,{'$date': 1609868490000},{'$date': 1609868490000},{'$date': 1599955200000},750.0,,,{'$date': 1609868492000},750.0,34.96,REJECTED,{'$oid': '5ff4a4ca0a7214ada10005d0'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5fbc35711d967d1222cbfefc,2.0
63,{'$date': 1609855966000},{'$date': 1609855966000},{'$date': 1608732766000},5.0,{'$date': 1609855967000},{'$date': 1609855967000},{'$date': 1609855967000},5.0,1.00,FINISHED,{'$oid': '5ff473de0a720f05230005bd'},All-receipts receipt bonus,54943462e4b07e684157a532,1.0
64,{'$date': 1609879180000},{'$date': 1609879180000},{'$date': 1609792780000},35.0,{'$date': 1609879181000},{'$date': 1609879181000},{'$date': 1609879186000},25.0,1.00,FINISHED,{'$oid': '5ff4ce8c0a7214ada10005e6'},COMPLETE_NONPARTNER_RECEIPT,5ff4ce33c3d63511e2a484b6,1.0
65,{'$date': 1609879101000},{'$date': 1609879101000},{'$date': 1609804800000},750.0,{'$date': 1609879102000},{'$date': 1609879102000},{'$date': 1609879107000},750.0,29.00,FINISHED,{'$oid': '5ff4ce3d0a7214ada10005d3'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff4ce3dc3d63511e2a484dc,2.0
66,{'$date': 1609855924000},{'$date': 1609855924000},{'$date': 1609769524000},50.0,{'$date': 1609855924000},{'$date': 1609855924000},{'$date': 1609855924000},45.0,1.00,FINISHED,{'$oid': '5ff473b40a7214ada10005c5'},COMPLETE_PARTNER_RECEIPT,5ff47392c3d63511e2a47881,1.0
67,{'$date': 1609855987000},{'$date': 1609855987000},{'$date': 1609855987000},1800.0,{'$date': 1609855988000},{'$date': 1609855988000},{'$date': 1609855988000},750.0,10.00,FINISHED,{'$oid': '5ff473f30a720f05230005c0'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff473f3c1e2d0121a9b2707,1.0
68,{'$date': 1609879098000},{'$date': 1609879098000},{'$date': 1609804800000},750.0,{'$date': 1609879099000},{'$date': 1609879099000},{'$date': 1609879103000},750.0,21.00,FINISHED,{'$oid': '5ff4ce3a0a7214ada10005d2'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff4ce3ac1e2d0121a9b2fb3,2.0
69,{'$date': 1609855913000},{'$date': 1609855913000},{'$date': 1609394400000},275.0,{'$date': 1609855914000},{'$date': 1609855914000},{'$date': 1609855914000},150.0,25.00,FINISHED,{'$oid': '5ff473a90a7214ada10005c2'},"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff47392c3d63511e2a47881,5.0
70,{'$date': 1609855921000},{'$date': 1609855921000},{'$date': 1609567200000},250.0,{'$date': 1609855921000},{'$date': 1609855921000},{'$date': 1609855921000},,49.95,FINISHED,{'$oid': '5ff473b10a7214ada10005c4'},,5ff47392c3d63511e2a47881,5.0
71,{'$date': 1609856386000},{'$date': 1609856386000},,,,,{'$date': 1609856386000},,,SUBMITTED,{'$oid': '5ff475820a7214ada10005cf'},,5a43c08fe4b014fd6b6a0612,
72,{'$date': 1609879125000},{'$date': 1609879125000},{'$date': 1609792725000},300.0,{'$date': 1609879131000},{'$date': 1609879126000},{'$date': 1609879131000},300.0,1.00,FINISHED,{'$oid': '5ff4ce550a7214ada10005db'},"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff4ce33c3d63511e2a484b6,2.0
73,{'$date': 1609879107000},{'$date': 1609879107000},{'$date': 1609804800000},5.0,{'$date': 1609879107000},{'$date': 1609879107000},{'$date': 1609879112000},5.0,29.00,FINISHED,{'$oid': '5ff4ce430a720f05230005c9'},All-receipts receipt bonus,5ff4ce3dc3d63511e2a484dc,1.0
74,{'$date': 1609855956000},{'$date': 1609855956000},{'$date': 1609855956000},5.0,{'$date': 1609855957000},{'$date': 1609855957000},{'$date': 1609855957000},5.0,9.99,FINISHED,{'$oid': '5ff473d40a7214ada10005c9'},All-receipts receipt bonus,5ff47392c3d63511e2a47881,1.0
75,{'$date': 1609879145000},{'$date': 1609879145000},{'$date': 1609792744000},810.0,,{'$date': 1609879146000},{'$date': 1609879147000},750.0,13.00,FLAGGED,{'$oid': '5ff4ce690a7214ada10005e2'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff4ce68c1e2d0121a9b3022,5.0
76,{'$date': 1609855990000},{'$date': 1609855990000},{'$date': 1609394400000},250.0,{'$date': 1609855991000},{'$date': 1609855991000},{'$date': 1609855991000},,49.95,FINISHED,{'$oid': '5ff473f60a7214ada10005ce'},,5ff47392c3d63511e2a47881,5.0
77,{'$date': 1609855951000},{'$date': 1609855951000},{'$date': 1609769551000},305.0,{'$date': 1609855952000},{'$date': 1609855952000},{'$date': 1609855952000},5.0,9.99,FINISHED,{'$oid': '5ff473cf0a7214ada10005c8'},All-receipts receipt bonus,5ff47392c3d63511e2a47881,1.0
78,{'$date': 1604693303000},{'$date': 1604693303000},{'$date': 1604606903000},9449.8,{'$date': 1609880020000},{'$date': 1609880020000},{'$date': 1609880020000},750.0,291.00,FINISHED,{'$oid': '5fa5ad370a720f05ef000089'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5fa5ad376a26f611e71ab5ef,11.0
79,{'$date': 1609879141000},{'$date': 1609879141000},{'$date': 1609792741000},750.0,,{'$date': 1609879142000},{'$date': 1609879142000},750.0,1.00,FLAGGED,{'$oid': '5ff4ce650a7214ada10005e1'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff4ce65c3d63511e2a4853b,1.0
80,{'$date': 1609855972000},{'$date': 1609855972000},{'$date': 1609769572000},50.0,{'$date': 1609855973000},{'$date': 1609855973000},{'$date': 1609855973000},45.0,1.00,FINISHED,{'$oid': '5ff473e40a7214ada10005cc'},COMPLETE_PARTNER_RECEIPT,54943462e4b07e684157a532,1.0
81,{'$date': 1609879100000},{'$date': 1609879100000},,,,,{'$date': 1609879100000},,0.00,FLAGGED,{'$oid': '5ff4ce3c0a720f05230005c4'},,5ff4ce3cc1e2d0121a9b2fba,0.0
82,{'$date': 1609855952000},{'$date': 1609855952000},{'$date': 1609855952000},55.0,{'$date': 1609855952000},{'$date': 1609855952000},{'$date': 1609855952000},5.0,0.99,FINISHED,{'$oid': '5ff473d00a720f05230005bb'},All-receipts receipt bonus,5ff47392c3d63511e2a47881,1.0
83,{'$date': 1609855922000},{'$date': 1609855922000},{'$date': 1608876000000},5.0,{'$date': 1609855923000},{'$date': 1609855923000},{'$date': 1609855923000},5.0,49.95,FINISHED,{'$oid': '5ff473b20a720f05230005b7'},All-receipts receipt bonus,5ff47392c3d63511e2a47881,5.0
84,{'$date': 1609855917000},{'$date': 1609855917000},{'$date': 1609769517000},50.0,{'$date': 1609855917000},{'$date': 1609855917000},{'$date': 1609855917000},45.0,1.00,FINISHED,{'$oid': '5ff473ad0a7214ada10005c3'},COMPLETE_PARTNER_RECEIPT,5ff47392c3d63511e2a47881,1.0
